t, (d_front, d_right, theta, omega), (omega_l, omega_r), (x, y, theta), (x_estimate, y_estimate, theta_estimate)
0, 233.167, 234.291, 6.010, -1.145, 60.000, 20.000, 260.593, 250.000, 6.168, 262.322, 250.000, 6.188
1, 240.688, 259.201, 6.272, -1.244, 60.000, 20.000, 271.400, 248.749, 6.061, 269.979, 249.607, 6.054
2, 236.528, 259.861, 6.263, -1.083, 60.000, 20.000, 281.843, 246.385, 5.940, 278.862, 246.539, 5.944
3, 221.363, 265.330, 5.805, -1.226, 60.000, 20.000, 291.525, 242.923, 5.825, 293.561, 241.563, 5.848
4, 234.409, 308.035, 6.086, -1.237, 60.000, 20.000, 301.122, 238.194, 5.715, 302.856, 247.732, 5.691
5, 242.300, 281.402, 5.296, -1.194, 60.000, 20.000, 310.085, 232.477, 5.596, 311.577, 230.089, 5.619
6, 269.856, 331.651, 5.076, -1.218, 60.000, 20.000, 317.862, 226.088, 5.461, 317.307, 226.225, 5.464
7, 272.991, 355.511, 5.900, -1.066, 60.000, 20.000, 325.356, 218.015, 5.345, 324.895, 216.935, 5.366
8, 247.115, 388.304, 4.806, -1.187, 60.000, 20.000, 331.267, 209.956, 5.232, 331.246, 209.619, 5.259
9, 217.725, 345.677, 4.740, -1.202, 60.000, 20.000, 336.285, 201.181, 5.111, 332.335, 202.996, 5.085
10, 200.802, 349.363, 4.650, -1.331, 60.000, 20.000, 340.464, 191.263, 4.998, 336.602, 193.532, 4.962
11, 173.647, 347.407, 4.855, -1.243, 60.000, 20.000, 343.412, 181.223, 4.875, 341.336, 178.577, 4.840
12, 164.319, 339.400, 4.600, -1.336, 60.000, 20.000, 345.051, 171.208, 4.760, 341.566, 166.668, 4.707
13, 152.937, 364.190, 4.718, -1.025, 60.000, 20.000, 345.539, 160.868, 4.638, 349.501, 154.117, 4.595
14, 150.589, 361.402, 4.401, -1.019, 60.000, 20.000, 344.745, 150.250, 4.520, 350.082, 145.052, 4.484
15, 145.677, 374.959, 4.476, -0.832, 60.000, 20.000, 342.669, 139.589, 4.402, 351.550, 136.282, 4.382
16, 150.336, 370.322, 4.720, -1.087, 60.000, 20.000, 339.603, 130.028, 4.287, 342.319, 130.938, 4.286
17, 129.718, 388.148, 4.586, -1.137, 60.000, 20.000, 335.209, 120.338, 4.172, 337.082, 117.219, 4.191
18, 136.263, 420.111, 4.294, -1.054, 60.000, 20.000, 330.018, 111.689, 4.059, 334.746, 108.681, 4.069
19, 140.042, 442.614, 3.431, -1.171, 60.000, 20.000, 323.923, 103.725, 3.940, 325.424, 101.287, 3.963
20, 154.115, 519.714, 4.302, -1.123, 60.000, 20.000, 316.346, 95.941, 3.842, 322.788, 95.090, 3.812
21, 177.551, 496.077, 3.984, -1.143, 60.000, 20.000, 308.297, 89.156, 3.710, 315.714, 90.687, 3.711
22, 194.337, 469.215, 3.566, -1.153, 60.000, 20.000, 299.623, 83.613, 3.602, 306.930, 85.036, 3.602
23, 234.501, 464.606, 2.496, -1.110, 60.000, 20.000, 290.096, 78.888, 3.494, 295.985, 79.337, 3.492
24, 271.788, 443.435, 3.834, -1.142, 60.000, 20.000, 280.531, 75.374, 3.378, 269.262, 73.853, 3.381
25, 260.233, 429.892, 2.894, -1.251, 60.000, 20.000, 270.208, 72.889, 3.264, 258.943, 71.719, 3.254
26, 251.768, 430.608, 3.879, -1.159, 60.000, 20.000, 260.706, 71.723, 3.149, 249.943, 70.305, 3.140
27, 238.172, 430.962, 2.507, -1.192, 60.000, 20.000, 250.180, 71.648, 3.024, 238.180, 70.964, 3.023
28, 258.670, 402.611, 2.777, -1.159, 60.000, 20.000, 239.443, 72.918, 2.905, 238.713, 87.220, 2.932
29, 251.447, 459.784, 2.358, -1.248, 60.000, 20.000, 229.122, 75.402, 2.792, 231.553, 80.356, 2.764
30, 239.140, 469.970, 2.708, -1.138, 60.000, 20.000, 219.416, 78.942, 2.669, 217.619, 83.201, 2.666
31, 247.438, 487.128, 3.111, -0.984, 60.000, 20.000, 210.016, 83.751, 2.555, 208.291, 88.834, 2.572
32, 272.142, 482.983, 2.011, -1.049, 60.000, 20.000, 201.503, 89.404, 2.441, 204.053, 91.768, 2.474
33, 262.909, 431.637, 2.675, -1.001, 60.000, 20.000, 193.463, 96.185, 2.328, 194.016, 99.743, 2.367
34, 304.776, 392.984, 1.912, -0.984, 60.000, 20.000, 186.036, 104.046, 2.214, 188.036, 105.435, 2.235
35, 333.170, 353.643, 1.848, -1.121, 60.000, 20.000, 179.680, 112.525, 2.095, 183.838, 110.230, 2.137
36, 425.072, 363.257, 1.725, -1.112, 60.000, 20.000, 174.414, 121.634, 1.986, 177.345, 120.761, 2.003
37, 384.565, 331.295, 0.972, -1.040, 60.000, 20.000, 170.478, 130.561, 1.877, 174.097, 130.211, 1.861
38, 381.921, 348.381, 1.020, -1.099, 60.000, 20.000, 167.411, 140.257, 1.756, 169.685, 134.594, 1.786
39, 351.681, 333.454, 0.983, -1.136, 60.000, 20.000, 165.527, 150.312, 1.636, 167.302, 147.025, 1.666
40, 317.611, 334.923, 1.639, -1.180, 60.000, 20.000, 164.835, 160.915, 1.531, 164.867, 168.273, 1.552
41, 319.206, 349.965, 1.134, -1.048, 60.000, 20.000, 165.249, 171.286, 1.408, 160.002, 180.917, 1.442
42, 345.230, 344.155, 0.847, -1.051, 60.000, 20.000, 166.962, 181.705, 1.294, 164.109, 180.402, 1.307
43, 315.986, 351.340, 1.115, -1.204, 60.000, 20.000, 169.942, 192.191, 1.175, 168.553, 196.247, 1.221
44, 359.606, 371.895, 1.036, -1.241, 60.000, 20.000, 173.770, 201.346, 1.059, 173.744, 197.479, 1.052
45, 348.888, 346.127, 1.170, -1.086, 60.000, 20.000, 179.142, 210.902, 0.937, 179.773, 208.523, 0.939
46, 387.351, 311.181, 0.715, -1.047, 60.000, 20.000, 185.330, 219.327, 0.823, 184.862, 215.648, 0.817
47, 405.396, 303.645, 0.349, -1.047, 60.000, 20.000, 192.145, 226.673, 0.710, 195.573, 225.399, 0.724
48, 402.429, 274.013, 1.185, -1.243, 60.000, 20.000, 199.955, 233.391, 0.589, 189.859, 224.362, 0.653
49, 327.722, 286.829, 0.064, -1.163, 60.000, 20.000, 208.327, 238.984, 0.464, 207.784, 238.454, 0.526
