t, (d_front, d_right, theta, omega), (omega_l, omega_r), (x, y, theta), (x_estimate, y_estimate, theta_estimate)
0, 257.372, 247.775, 0.192, 3.509, -60.000, 60.000, 250.121, 250.000, 0.350, 251.047, 250.000, 0.302
1, 337.320, 334.701, 0.920, 3.410, -60.000, 60.000, 250.503, 250.140, 0.708, 248.312, 249.588, 0.718
2, 293.407, 284.975, 1.376, 3.571, -60.000, 60.000, 250.682, 250.293, 1.053, 248.639, 249.220, 1.060
3, 241.347, 247.803, 1.383, 3.428, -60.000, 60.000, 250.588, 250.128, 1.404, 252.325, 253.277, 1.417
4, 252.546, 276.787, 2.130, 3.417, -60.000, 60.000, 250.626, 250.352, 1.759, 247.360, 250.780, 1.787
5, 285.755, 271.016, 1.806, 3.460, -60.000, 60.000, 250.596, 250.508, 2.105, 250.428, 249.843, 2.071
6, 332.281, 327.725, 2.051, 3.436, -60.000, 60.000, 250.803, 250.158, 2.435, 250.442, 251.359, 2.426
7, 269.744, 256.734, 3.340, 3.589, -60.000, 60.000, 250.390, 250.511, 2.785, 250.366, 253.710, 2.791
8, 256.292, 254.043, 2.712, 3.468, -60.000, 60.000, 250.838, 250.344, 3.137, 253.385, 250.888, 3.138
9, 265.796, 250.907, 3.111, 3.452, -60.000, 60.000, 251.201, 250.342, 3.482, 252.443, 253.342, 3.459
10, 328.510, 319.581, 3.486, 3.323, -60.000, 60.000, 250.928, 250.245, 3.834, 254.066, 252.851, 3.821
11, 275.217, 291.359, 4.157, 3.411, -60.000, 60.000, 250.934, 250.251, 4.177, 253.718, 249.410, 4.206
12, 244.376, 251.022, 4.367, 3.319, -60.000, 60.000, 251.099, 250.529, 4.527, 250.868, 245.979, 4.549
13, 240.628, 267.273, 4.951, 3.629, -60.000, 60.000, 251.122, 250.647, 4.870, 252.786, 242.845, 4.914
14, 281.668, 295.407, 5.099, 3.636, -60.000, 60.000, 251.149, 250.474, 5.218, 252.534, 241.525, 5.262
15, 327.991, 345.936, 5.640, 3.823, -60.000, 60.000, 251.338, 250.133, 5.566, 251.910, 251.794, 5.561
16, 280.942, 266.492, 0.066, 3.567, -60.000, 60.000, 251.013, 250.417, 5.916, 249.084, 251.180, 5.891
17, 230.028, 248.611, 0.397, 3.517, -60.000, 60.000, 251.169, 250.357, 6.266, 256.905, 247.647, 6.231
18, 255.710, 268.040, 0.571, 3.600, -60.000, 60.000, 250.785, 250.363, 0.336, 256.490, 249.218, 0.319
19, 311.229, 315.722, 0.173, 3.483, -60.000, 60.000, 250.366, 250.217, 0.683, 255.795, 248.954, 0.666
20, 297.942, 304.465, 1.509, 3.531, -60.000, 60.000, 250.669, 250.463, 1.050, 250.802, 248.895, 0.991
21, 272.316, 258.192, 1.657, 3.511, -60.000, 60.000, 250.697, 250.511, 1.383, 248.806, 244.423, 1.328
22, 261.582, 255.373, 1.704, 3.502, -60.000, 60.000, 250.664, 250.336, 1.740, 247.726, 242.491, 1.682
23, 295.792, 298.710, 1.099, 3.544, -60.000, 60.000, 250.636, 250.497, 2.097, 245.345, 241.282, 2.074
24, 307.444, 330.028, 2.903, 3.512, -60.000, 60.000, 250.778, 250.253, 2.447, 243.784, 242.065, 2.465
25, 254.465, 264.866, 2.428, 3.403, -60.000, 60.000, 250.666, 250.346, 2.798, 242.194, 244.819, 2.819
26, 242.889, 251.317, 3.879, 3.495, -60.000, 60.000, 251.512, 250.044, 3.149, 241.956, 245.812, 3.169
27, 252.860, 265.632, 2.972, 3.462, -60.000, 60.000, 251.458, 250.043, 3.489, 239.709, 247.166, 3.494
28, 343.338, 298.336, 3.708, 3.495, -60.000, 60.000, 251.138, 249.927, 3.836, 255.241, 253.673, 3.819
29, 297.544, 294.995, 3.755, 3.406, -60.000, 60.000, 251.028, 249.835, 4.188, 253.927, 253.722, 4.167
30, 246.597, 253.694, 4.570, 3.516, -60.000, 60.000, 251.098, 249.957, 4.530, 251.306, 249.595, 4.531
31, 248.849, 248.378, 5.438, 3.670, -60.000, 60.000, 251.082, 249.872, 4.883, 249.303, 247.269, 4.886
32, 297.735, 301.957, 4.804, 3.605, -60.000, 60.000, 251.040, 250.121, 5.233, 250.744, 249.317, 5.281
33, 303.103, 333.934, 5.933, 3.654, -60.000, 60.000, 251.063, 250.081, 5.586, 252.778, 256.902, 5.629
34, 259.733, 265.981, 5.636, 3.670, -60.000, 60.000, 251.325, 249.861, 5.937, 252.489, 256.433, 5.992
35, 230.664, 238.780, 6.037, 3.533, -60.000, 60.000, 251.442, 249.819, 0.001, 260.811, 249.802, 0.062
36, 272.656, 272.205, 0.096, 3.543, -60.000, 60.000, 251.492, 249.819, 0.357, 256.803, 249.731, 0.427
37, 327.116, 316.435, 6.092, 3.614, -60.000, 60.000, 250.821, 249.569, 0.714, 268.294, 250.599, 0.801
38, 300.163, 294.713, 0.322, 3.555, -60.000, 60.000, 250.593, 249.372, 1.058, 259.182, 243.076, 1.057
39, 255.306, 251.760, 0.751, 3.518, -60.000, 60.000, 250.474, 249.161, 1.403, 258.114, 243.878, 1.405
40, 239.057, 253.827, 1.872, 3.474, -60.000, 60.000, 250.500, 249.311, 1.764, 258.575, 251.345, 1.744
41, 279.357, 299.197, 1.832, 3.606, -60.000, 60.000, 250.517, 249.221, 2.106, 256.218, 256.724, 2.128
42, 337.204, 321.570, 2.010, 3.603, -60.000, 60.000, 250.473, 249.295, 2.457, 257.308, 254.284, 2.447
