t, (d_front, d_right, theta, omega), (omega_l, omega_r), (x, y, theta), (x_estimate, y_estimate, theta_estimate)
0, 226.555, 232.737, 6.127, 0.019, 60.000, 60.000, 265.829, 250.000, 0.001, 267.634, 250.000, 0.015
1, 223.931, 254.106, 0.222, -0.081, 60.000, 60.000, 281.944, 250.018, 0.010, 280.669, 251.593, 0.011
2, 206.348, 248.466, 0.329, 0.081, 60.000, 60.000, 297.886, 250.179, 0.006, 295.267, 250.135, 0.017
3, 177.727, 245.201, 6.270, -0.062, 60.000, 60.000, 313.405, 250.268, 0.008, 315.810, 247.615, 0.023
4, 169.601, 273.016, 0.384, -0.074, 60.000, 60.000, 329.339, 250.388, 0.014, 331.049, 261.624, 0.028
5, 152.615, 234.418, 5.995, -0.031, 60.000, 60.000, 345.205, 250.609, 0.010, 347.065, 246.970, 0.026
6, 140.612, 250.270, 5.891, -0.054, 60.000, 60.000, 360.505, 250.769, 6.275, 361.338, 248.978, 0.036
7, 124.441, 241.733, 0.548, 0.098, 60.000, 60.000, 376.756, 250.637, 6.276, 376.450, 245.263, 0.042
8, 110.363, 254.931, 5.853, -0.023, 60.000, 60.000, 391.985, 250.529, 6.279, 391.109, 250.754, 0.057
9, 92.424, 237.265, 5.903, -0.039, 60.000, 60.000, 407.330, 250.465, 6.275, 407.241, 243.706, 0.059
10, 98.020, 259.744, 5.615, -3.309, 54.000, -54.000, 407.620, 250.463, 5.964, 406.601, 245.911, 6.004
11, 108.966, 311.883, 5.623, -3.221, 54.000, -54.000, 407.612, 250.465, 5.643, 409.013, 248.091, 5.656
12, 153.449, 425.479, 5.170, -3.314, 54.000, -54.000, 407.352, 250.659, 5.330, 410.094, 247.643, 5.334
13, 248.671, 447.771, 5.091, -3.003, 54.000, -54.000, 407.283, 250.757, 5.010, 415.514, 241.070, 5.046
14, 246.559, 419.203, 4.576, -2.997, 54.000, -54.000, 407.334, 250.589, 4.695, 415.549, 242.624, 4.745
15, 233.075, 424.208, 4.767, 0.332, 60.000, 60.000, 407.047, 234.494, 4.693, 419.477, 229.037, 4.778
16, 230.873, 404.017, 5.128, 0.076, 60.000, 60.000, 406.750, 219.220, 4.694, 411.427, 220.749, 4.777
17, 187.982, 403.623, 5.110, 0.026, 60.000, 60.000, 406.456, 203.348, 4.696, 407.537, 197.606, 4.768
18, 182.174, 410.639, 4.934, 0.109, 60.000, 60.000, 406.198, 188.026, 4.699, 409.221, 181.862, 4.779
19, 167.161, 397.571, 4.187, -0.008, 60.000, 60.000, 405.994, 172.763, 4.697, 403.249, 166.508, 4.767
20, 162.214, 429.662, 5.175, 0.041, 60.000, 60.000, 405.742, 156.667, 4.715, 416.926, 155.556, 4.789
21, 151.107, 412.902, 4.973, 0.020, 60.000, 60.000, 405.779, 140.903, 4.699, 414.793, 144.565, 4.788
22, 129.478, 409.444, 4.671, 0.011, 60.000, 60.000, 405.575, 125.375, 4.707, 412.070, 129.004, 4.783
23, 112.236, 419.943, 3.717, 0.054, 60.000, 60.000, 405.495, 109.504, 4.715, 416.062, 112.723, 4.789
24, 88.615, 411.743, 5.172, 0.021, 60.000, 60.000, 405.541, 94.078, 4.716, 413.826, 93.278, 4.785
25, 94.238, 425.206, 4.034, -3.229, 54.000, -54.000, 405.541, 93.933, 4.404, 413.353, 92.454, 4.467
26, 112.562, 501.731, 4.821, -3.137, 54.000, -54.000, 405.814, 94.789, 4.091, 414.717, 93.196, 4.123
27, 152.683, 499.980, 3.251, -3.170, 54.000, -54.000, 405.782, 94.745, 3.769, 414.371, 92.707, 3.774
28, 324.807, 390.301, 3.324, -3.137, 54.000, -54.000, 405.507, 94.546, 3.452, 419.269, 100.469, 3.451
29, 417.937, 412.519, 2.707, -3.226, 54.000, -54.000, 405.370, 94.502, 3.141, 417.030, 97.090, 3.127
30, 378.218, 402.920, 3.173, 0.025, 60.000, 60.000, 389.803, 94.512, 3.134, 391.253, 96.296, 3.131
31, 367.102, 395.214, 3.693, 0.179, 60.000, 60.000, 374.009, 94.631, 3.137, 371.962, 100.653, 3.145
32, 370.168, 422.811, 2.709, 0.115, 60.000, 60.000, 358.554, 94.699, 3.139, 362.297, 87.462, 3.163
33, 319.931, 414.794, 3.489, 0.163, 60.000, 60.000, 342.800, 94.738, 3.142, 334.972, 86.085, 3.174
34, 321.085, 405.891, 2.843, 0.179, 60.000, 60.000, 326.750, 94.727, 3.145, 319.947, 90.275, 3.184
35, 288.534, 387.415, 2.895, 0.043, 60.000, 60.000, 310.917, 94.674, 3.142, 297.443, 102.082, 3.169
36, 303.418, 413.805, 2.888, 0.052, 60.000, 60.000, 295.160, 94.666, 3.150, 290.972, 93.571, 3.184
37, 278.093, 388.704, 2.252, 0.123, 60.000, 60.000, 280.168, 94.545, 3.157, 276.434, 102.935, 3.181
38, 276.297, 417.714, 2.416, 0.065, 60.000, 60.000, 264.763, 94.307, 3.152, 267.261, 91.873, 3.199
39, 250.193, 403.771, 2.496, 0.028, 60.000, 60.000, 249.298, 94.142, 3.149, 250.829, 94.103, 3.195
40, 243.773, 423.650, 2.954, -3.158, 54.000, -54.000, 249.146, 94.141, 2.846, 244.144, 92.458, 2.888
41, 292.755, 447.257, 2.251, -3.026, 54.000, -54.000, 249.234, 94.114, 2.525, 244.666, 92.537, 2.541
42, 433.946, 311.392, 1.766, -3.029, 54.000, -54.000, 249.163, 94.164, 2.213, 247.103, 91.714, 2.181
43, 405.297, 260.242, 1.836, -3.182, 54.000, -54.000, 248.906, 94.508, 1.896, 245.198, 97.764, 1.821
44, 426.199, 249.371, 1.559, -3.219, 54.000, -54.000, 249.081, 93.989, 1.582, 248.514, 87.957, 1.490
45, 379.140, 243.984, 1.810, 0.078, 60.000, 60.000, 248.894, 110.186, 1.577, 252.200, 111.088, 1.508
46, 378.535, 242.407, 1.472, 0.117, 60.000, 60.000, 248.794, 125.875, 1.579, 255.698, 124.753, 1.515
47, 358.286, 255.257, 1.222, 0.117, 60.000, 60.000, 248.666, 141.130, 1.583, 249.899, 141.040, 1.527
48, 382.915, 245.556, 2.174, -0.080, 60.000, 60.000, 248.475, 156.667, 1.578, 252.901, 139.879, 1.510
49, 329.658, 270.126, 1.170, 0.001, 60.000, 60.000, 248.366, 171.971, 1.569, 240.469, 162.052, 1.519
50, 326.386, 253.347, 1.239, -0.043, 60.000, 60.000, 248.393, 187.855, 1.574, 244.626, 176.225, 1.512
51, 286.776, 269.885, 1.346, -0.082, 60.000, 60.000, 248.344, 203.305, 1.576, 237.104, 201.269, 1.515
52, 278.718, 253.927, 2.053, -0.126, 60.000, 60.000, 248.269, 218.320, 1.591, 243.021, 219.122, 1.505
53, 276.723, 268.197, 1.802, 0.126, 60.000, 60.000, 247.944, 234.687, 1.591, 237.174, 229.954, 1.515
