t, (d_front, d_right, theta, omega), (omega_l, omega_r), (x, y, theta), (x_estimate, y_estimate, theta_estimate)
0, 226.555, 232.737, 6.127, 0.019, 60.000, 60.000, 265.829, 250.000, 0.001, 267.634, 250.000, 0.015
1, 223.931, 254.106, 0.222, -0.081, 60.000, 60.000, 281.944, 250.018, 0.010, 280.669, 251.593, 0.011
2, 206.348, 248.466, 0.329, 0.081, 60.000, 60.000, 297.886, 250.179, 0.006, 295.267, 250.135, 0.017
3, 177.727, 245.201, 6.270, -0.062, 60.000, 60.000, 313.405, 250.268, 0.008, 315.810, 247.615, 0.023
4, 169.601, 273.016, 0.384, -0.074, 60.000, 60.000, 329.339, 250.388, 0.014, 331.049, 261.624, 0.028
5, 152.615, 234.418, 5.995, -0.031, 60.000, 60.000, 345.205, 250.609, 0.010, 347.065, 246.970, 0.026
6, 140.612, 250.270, 5.891, -0.054, 60.000, 60.000, 360.505, 250.769, 6.275, 361.338, 248.978, 0.036
7, 124.441, 241.733, 0.548, 0.098, 60.000, 60.000, 376.756, 250.637, 6.276, 376.450, 245.263, 0.042
8, 110.363, 254.931, 5.853, -0.023, 60.000, 60.000, 391.985, 250.529, 6.279, 391.109, 250.754, 0.057
9, 92.424, 237.265, 5.903, -0.039, 60.000, 60.000, 407.330, 250.465, 6.275, 407.241, 243.706, 0.059
10, 77.238, 246.474, 5.929, -0.168, 60.000, 60.000, 423.327, 250.330, 6.278, 422.906, 245.385, 0.059
11, 57.661, 249.851, 6.251, -0.079, 60.000, 60.000, 439.027, 250.247, 6.271, 440.257, 247.981, 0.067
12, 43.710, 245.704, 6.113, -0.172, 60.000, 60.000, 454.410, 250.058, 6.272, 456.144, 246.959, 0.064
13, 28.449, 262.676, 0.064, 0.139, 60.000, 60.000, 469.996, 249.886, 6.267, 471.664, 255.525, 0.083
14, 13.895, 256.899, 6.146, 0.145, 60.000, 60.000, 485.878, 249.625, 6.265, 482.288, 256.438, 0.060
15, 13.650, 260.142, 0.055, 0.332, 0.000, 0.000, 486.267, 249.618, 6.264, 483.614, 257.928, 0.087
16, 14.917, 247.949, 0.415, 0.076, 0.000, 0.000, 485.836, 249.626, 6.265, 482.331, 257.911, 0.067
17, 12.939, 247.883, 0.397, 0.026, 0.000, 0.000, 486.004, 249.623, 6.266, 484.016, 254.290, 0.065
18, 13.933, 252.360, 0.222, 0.109, 0.000, 0.000, 485.619, 249.630, 6.270, 484.231, 254.303, 0.062
19, 14.344, 244.457, 5.758, -0.008, 0.000, 0.000, 485.176, 249.636, 6.268, 484.286, 254.306, 0.064
20, 31.207, 264.606, 0.462, 0.041, -60.000, -60.000, 469.860, 249.875, 0.002, 469.692, 256.659, 0.071
21, 49.109, 254.224, 0.260, 0.020, -60.000, -60.000, 454.208, 249.838, 6.270, 452.730, 254.449, 0.074
22, 63.696, 252.433, 6.242, 0.011, -60.000, -60.000, 438.323, 250.048, 6.278, 436.862, 252.101, 0.089
23, 79.148, 259.038, 5.288, 0.054, -60.000, -60.000, 422.778, 250.125, 0.003, 421.180, 254.511, 0.104
24, 87.799, 253.903, 0.460, 0.021, -60.000, -60.000, 406.788, 250.078, 0.004, 408.683, 252.513, 0.106
25, 103.981, 249.782, 5.919, -0.087, -60.000, -60.000, 391.225, 250.023, 0.006, 394.695, 249.202, 0.111
26, 121.082, 251.288, 0.737, 0.005, -60.000, -60.000, 374.620, 249.928, 0.007, 379.303, 248.733, 0.113
27, 133.335, 249.597, 5.765, -0.028, -60.000, -60.000, 358.966, 249.815, 6.282, 365.431, 247.222, 0.122
28, 164.272, 228.985, 6.151, 0.004, -60.000, -60.000, 343.598, 249.837, 6.280, 344.805, 234.579, 0.139
29, 177.297, 254.217, 5.849, -0.085, -60.000, -60.000, 328.034, 249.891, 6.283, 326.650, 243.687, 0.147
30, 182.233, 248.319, 0.032, 0.025, -60.000, -60.000, 312.186, 249.901, 6.276, 314.776, 243.651, 0.146
31, 199.679, 243.756, 0.551, 0.179, -60.000, -60.000, 296.565, 250.019, 6.279, 300.906, 240.651, 0.160
32, 226.503, 260.893, 5.851, 0.115, -60.000, -60.000, 280.604, 250.089, 6.281, 281.140, 249.035, 0.188
33, 219.377, 256.012, 0.348, 0.163, -60.000, -60.000, 264.942, 250.128, 0.001, 274.037, 248.333, 0.191
34, 246.082, 250.499, 5.985, 0.179, -60.000, -60.000, 249.576, 250.117, 0.003, 259.223, 244.549, 0.219
35, 232.280, 239.066, 6.037, 0.043, 0.000, 0.000, 249.701, 250.118, 0.001, 265.396, 240.147, 0.213
36, 257.252, 255.345, 6.030, 0.052, 0.000, 0.000, 249.750, 250.118, 0.008, 259.055, 241.981, 0.252
37, 249.107, 239.778, 5.393, 0.123, 0.000, 0.000, 249.035, 250.112, 0.015, 258.698, 239.440, 0.258
38, 262.212, 257.518, 5.558, 0.065, 0.000, 0.000, 248.733, 250.107, 0.011, 254.926, 240.356, 0.299
39, 252.411, 248.819, 5.638, 0.028, 0.000, 0.000, 248.491, 250.105, 0.007, 256.517, 240.084, 0.301
40, 235.290, 249.768, 0.127, -0.016, 0.000, 0.000, 248.644, 250.106, 0.018, 263.778, 241.441, 0.274
41, 240.956, 258.024, 6.021, 0.115, 0.000, 0.000, 248.552, 250.104, 0.012, 266.793, 242.686, 0.299
42, 262.273, 248.633, 5.850, 0.112, 0.000, 0.000, 248.638, 250.105, 0.014, 259.622, 240.293, 0.328
43, 237.671, 245.641, 6.234, -0.040, 0.000, 0.000, 249.067, 250.111, 0.011, 264.692, 240.734, 0.300
44, 263.985, 248.562, 6.272, -0.077, 0.000, 0.000, 248.519, 250.105, 0.012, 257.707, 238.648, 0.320
45, 244.117, 243.017, 0.239, 0.078, 0.000, 0.000, 249.009, 250.111, 0.006, 260.728, 238.725, 0.295
46, 253.968, 241.350, 6.184, 0.117, 0.000, 0.000, 248.991, 250.110, 0.008, 258.601, 237.398, 0.303
47, 251.052, 254.010, 5.934, 0.117, 0.000, 0.000, 248.539, 250.107, 0.012, 260.510, 238.120, 0.327
48, 280.641, 244.170, 0.603, -0.080, 0.000, 0.000, 248.369, 250.105, 0.007, 249.091, 234.523, 0.344
49, 253.286, 268.480, 5.882, 0.001, 0.000, 0.000, 247.965, 250.102, 6.281, 257.276, 238.028, 0.372
50, 263.349, 251.832, 5.951, -0.043, 0.000, 0.000, 248.142, 250.101, 0.003, 255.834, 237.304, 0.374
51, 243.687, 268.217, 6.059, -0.082, 0.000, 0.000, 247.883, 250.100, 0.005, 264.775, 240.935, 0.379
52, 250.151, 252.279, 0.482, -0.126, 0.000, 0.000, 247.191, 250.097, 0.020, 264.378, 240.511, 0.353
53, 262.991, 266.126, 0.231, 0.126, 0.000, 0.000, 247.853, 250.110, 0.020, 262.067, 240.177, 0.396
